"probe","EntrezGene.ID","HUGO.gene.symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Contig580_RC",94121,"SYTL4",-0.321993877551021,-0.065166163141994,-12.4611964293291,1.60095506255092e-29,2.23959890778909e-27,56.3084991900735
"Contig39090_RC",NA,NA,-0.269253833515882,-0.00444213649851632,-12.4219443763227,1.84807515271578e-29,2.57060953486563e-27,56.161760508621
"NM_014398",27074,"LAMP3",0.435333333333333,-0.11889696969697,12.4239057025907,2.27508384403403e-29,3.14668517433882e-27,55.9612789095212
"Contig33998_RC",NA,NA,-0.307257530120482,-0.0611008902077151,-12.3866121438288,2.50333286548589e-29,3.44292651011011e-27,55.8617350679299
"NM_004267",9435,"CHST2",0.323862221613728,-0.0668724035608309,12.3807768957301,2.63191905871591e-29,3.59955365790079e-27,55.8122153358502
"M73547",7905,"REEP5",-0.328597024461482,-0.0752314540059347,-12.3793134894845,2.66518617211167e-29,3.62480125997032e-27,55.7997977787928
"NM_002988",6362,"CCL18",0.621711876832845,-0.393916666666667,12.3771950868103,2.80034608206367e-29,3.78758411243098e-27,55.7515312290897
"AL137761",NA,NA,-0.377058141657539,-0.0909703264094956,-12.3662707775783,2.98081766210272e-29,4.00952731790861e-27,55.6891496210854
"Contig51117_RC",NA,NA,-0.355347526469514,-0.0803412462908012,-12.3608549385039,3.12258137829424e-29,4.177263099564e-27,55.6432170279615
"NM_006769",8543,"LMO4",0.376173660157873,-0.072875,12.3593895537515,3.26212084364609e-29,4.34021632463586e-27,55.6012027899474
"NM_000168",2737,"GLI3",-0.398362404162103,-0.0924451038575668,-12.3487753714757,3.46344412277837e-29,4.58316624701283e-27,55.5407954374417
"AL050372",2166,"FAAH",-0.289105421686747,-0.0156379821958457,-12.3409827827989,3.70276146058584e-29,4.87351093100011e-27,55.4747426872256
"NM_000077",1029,"CDKN2A",0.446952081051479,-0.162445103857567,12.334334735558,3.91990901335836e-29,5.13172687465379e-27,55.4184038561307
"Contig43195_RC",93273,"LEMD1",0.467938618108799,-0.177394658753709,12.2753374377554,6.49685250104374e-29,8.43935005988413e-27,54.9189339651787
